Student_id,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.Pz.Theta,POW.Pz.Alpha,POW.Pz.BetaL,POW.Pz.BetaH,POW.Pz.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,Output
8,12.5832429,2.699796177,1.171940722,0.663048177,0.462643633,2.692478937,1.209837924,1.054330823,1.568674595,2.032520228,2.162260873,1.241901848,0.63454219,0.492903924,0.352996291,0.170078025,0.135168734,0.105653456,0.098635114,0.095136139,7.074756101,1.958493316,1.292681494,0.760339835,0.459119329,2
8,8.690243308,3.192735013,1.361354436,0.618284744,0.349173449,5.007871372,2.028073897,1.22314859,2.017975051,2.149053436,4.424669333,1.777411551,1.064781,0.501488115,0.366025897,0.146832244,0.122089051,0.112771487,0.087803128,0.077293346,6.007623205,2.636962077,1.484208244,0.716016333,0.343249038,1
9,21.6829526,4.124975986,1.262986886,0.679343257,0.709887229,1.914605257,1.214761371,0.926670314,1.0502159,2.283345314,4.355137714,2.984827229,1.672804486,0.847260086,0.657577414,0.001838371,0.000668543,0.001115786,0.001284514,0.001151086,15.79190863,4.322165243,1.296881186,0.702018457,0.699873214,3
9,15.66016622,1.930478455,1.237899571,0.810093442,0.558609961,1.986133974,1.341349571,1.591934013,3.601598883,2.977651974,3.669903065,2.276949481,1.232122675,0.934805532,0.534936597,0.05418387,0.024365948,0.029566675,0.012252,0.011673234,13.42316029,2.288652753,1.319987481,0.805627052,0.611710234,2
9,10.97144251,2.353607042,0.943694403,0.730726556,0.513731583,2.184110139,1.162106819,1.142323903,3.846345361,3.543222569,26.02431622,10.97335282,4.681149528,1.586471958,0.871113736,0.000459222,0.000297431,0.000207833,8.34E-05,5.98E-05,11.12290779,2.368907569,1.234151972,0.866463472,0.574897153,1
10,38.09840962,5.940333115,2.004848872,0.770632256,0.379031295,2.373892308,1.409564641,1.321310487,0.911004538,0.656133474,4.24101141,2.981875974,0.943277974,0.563539641,0.26254941,0.140527949,0.199122526,0.197919154,0.138332218,0.146817987,19.62242995,3.789288692,1.432962038,0.768846128,0.325567936,3
10,28.97963484,3.644498288,1.883412713,1.0871185,0.465522813,9.307221513,1.503747575,1.495263775,1.314285163,0.881231475,4.116182238,2.709024575,1.628327413,0.870390375,0.361895988,0.136832375,0.06780855,0.047851225,0.047781363,0.054268225,16.56678904,2.5779959,1.756935088,1.14006125,0.40229175,2
10,35.79104721,8.907144049,2.596830914,1.137114716,0.518449704,15.17172517,3.174661938,1.986882284,1.324855617,1.100072123,4.397167556,3.192186395,1.462831975,0.915783679,0.411008617,0.197186802,0.151967148,0.139612679,0.11622884,0.112873272,20.67071338,6.297606963,1.982332704,1.102603123,0.495704593,1
65,16.41488732,11.83751925,2.389017292,0.812604694,0.501349944,106.5484823,79.05507317,78.7461645,87.59921893,264.2973576,4.077601708,4.699937333,1.543713667,0.794850083,0.352249472,0.011290056,0.021133639,0.018867083,0.030995431,0.031813694,6.601574403,10.13693179,1.987168208,0.947581278,0.461176792,3
65,781.4578145,219.8206104,70.11370179,18.43118047,2.736687387,103.2662547,82.16438708,73.17177584,91.99247565,209.870422,681.9814875,172.314908,53.54497104,15.17645777,2.2040214,0.08057084,0.055091253,0.05746804,0.04956972,0.035713413,785.338436,223.0017607,72.90709433,18.35633332,2.57743628,2
65,13.01966906,4.767498986,1.517097167,0.825170278,0.547347403,120.2267686,69.86580157,74.34785303,90.82707114,203.4347782,4.346146028,2.983676569,1.080882278,0.632799722,0.451160472,0.025454903,0.020082208,0.024591667,0.027892292,0.030949069,10.03201301,5.473521958,1.495404278,0.758632611,0.481893,1
66,58.74238833,7.382867581,2.464681686,2.892591581,1.464221012,8.280751372,1.849264988,1.905705244,2.421267395,2.126093058,6.749268337,1.775944477,1.078559174,0.772165047,0.397351895,0.246907826,0.322926674,0.198055791,0.137745477,0.160313291,34.90170234,5.085558919,2.506903442,1.57207464,0.63440357,3
66,95.58375443,12.42446533,3.484803407,2.483445926,1.539096778,4.433256519,1.868080025,1.672837086,3.309776827,1.944961617,4.249012815,1.264530259,1.475534802,0.861672667,0.464787284,0.084800086,0.059260877,0.067830457,0.066182914,0.080069642,52.50878226,7.402228741,2.607535099,1.711812506,0.738789778,2
66,108.7656262,16.02730651,3.829057121,2.635665757,1.544962916,10.04965064,1.73741372,1.961234346,3.342986065,2.142399505,6.510991748,1.985734701,1.678775636,1.267533925,0.575029916,0.136969056,0.147830664,0.133874131,0.128508822,0.144766542,57.45737693,9.910266897,2.99699143,1.730223794,0.801872178,1
67,19.68244329,5.206877785,2.387798419,1.906545387,1.451184968,76.16838481,74.40160026,77.91915599,84.47604252,245.1877637,3.504269065,2.81932243,2.328440978,1.734721301,1.457727355,0.03960214,0.042510108,0.045997753,0.044136215,0.03760728,11.27835457,4.21590728,2.411018656,2.074650645,1.524040634,3
67,27.89182109,2.704844868,3.435282471,2.043607088,1.815270926,56.18310572,63.51718815,62.94348281,80.87087056,242.1150153,4.773819426,2.547248779,3.37285225,1.677927897,1.723205324,0.005122706,0.004618897,0.003890441,0.004114559,0.005455838,15.46133815,2.681902412,3.485773382,1.916341868,1.685397044,2
67,3.393892145,1.809382957,2.28745413,1.923928029,1.670093232,78.55982923,62.95042822,73.61419155,105.0580733,221.6163664,2.197508087,1.878186014,2.175326841,1.736651449,1.621403638,0.028237217,0.026101058,0.033621362,0.029843522,0.026613464,3.725604319,1.943917362,2.195216797,2.017401058,1.712297681,1
68,3.409458943,2.012799261,1.030478784,0.853070239,0.737545057,78.1901997,28.01078742,13.68211597,5.742224352,2.645007295,3.26766983,2.629503864,1.767196057,0.757241284,0.571956614,0.022869716,0.025111841,0.03090283,0.025901307,0.022697409,4.220015045,2.57599108,1.049821182,0.670919443,0.687690977,3
68,7.799222973,2.818884393,1.120229348,0.834040732,0.683483214,7.272111964,2.131584902,1.905542464,1.564606295,1.237068277,3.657774036,4.641719223,1.632478286,0.709880795,0.547833661,0.004996964,0.001859902,0.000912402,0.000867884,0.000760554,7.818541313,2.859099732,1.29345867,0.72095158,0.608735634,2
68,12.43526276,2.347215903,1.166936927,0.699222927,0.572063355,3.073975435,1.492259323,1.190250976,1.205512726,1.124697516,3.782680121,2.607663427,1.571540468,0.573029734,0.491969347,0.024063798,0.036985129,0.011866065,0.010498556,0.019085976,35.99019402,5.748861968,2.214246758,0.909658871,0.522476782,1
69,40.97752572,7.613341037,2.431932671,0.879781841,0.384803305,6.732671805,1.899675549,1.145636171,0.935707146,0.750610305,7.967456183,22.49248493,2.039342634,1.253237598,0.393350622,0.147359463,0.136382902,0.086965683,0.080877134,0.119783207,35.66406189,7.850649976,2.007426354,0.92450189,0.404195744,3
69,12.49365355,4.958713527,2.811055627,0.899545618,0.3683641,6.4823082,2.6977843,1.737539045,1.081398955,0.741535273,7.247116109,19.30489712,2.901183736,0.907475409,0.313847345,0.061149618,0.039854864,0.035295336,0.029340764,0.027463391,11.61013067,5.224147545,3.297968227,0.973177982,0.397852109,2
69,104.245654,13.15824627,2.759332022,1.169101677,0.434479118,60.48792569,6.108265882,1.863370581,1.254252559,0.883055097,80.89448362,10.86049396,2.083260022,1.099963946,0.343499839,0.089278441,0.089451097,0.085422871,0.05896257,0.056189043,102.2483556,12.82285549,2.681487161,1.193285763,0.445032097,1
70,26.88184193,5.190900138,2.20652356,1.477167707,1.014434,7.968348371,1.637481086,1.429795974,0.870424284,0.836421216,8.777530147,3.010726853,1.83457981,1.145957241,0.888898629,0.020430052,0.019456578,0.009238112,0.008290698,0.006045534,29.46379884,6.195502741,2.45914031,1.506834509,1.03928644,3
70,24.02065451,5.380069241,2.348193448,1.410705161,0.823654483,7.490025471,3.187095,1.623503264,0.992868655,0.726429379,5.294188253,2.916212851,1.565452851,0.598879483,0.515959471,0.019847195,0.008696276,0.007181161,0.003849621,0.009303805,25.00727014,6.311539483,2.492714448,1.418465782,1.008386632,2
70,52.45849855,11.29213071,3.528754776,1.438276612,0.964463953,4.008040965,1.792607882,1.466304282,1.280751459,2.036139376,4.6649624,3.131455965,1.595626141,0.933553094,0.737287224,0.014801788,0.014615682,0.004420506,0.006982541,0.014450094,61.28105742,11.16544489,3.0927582,1.5313976,0.991366482,1
71,43.92701831,9.605872282,2.785023047,1.287497224,0.822914906,24.49276815,9.423076118,3.548726859,1.943580435,1.789796035,1.989008012,1.165103918,0.782049082,0.468280388,0.411753271,0.0960048,0.041123965,0.026830741,0.027386941,0.027861565,39.77398078,10.88249696,2.978161718,1.468128647,0.868475494,3
71,43.80445026,16.21818731,7.969342987,2.284708935,62.29069886,44.26211234,16.00856077,8.86700539,3.329999364,2.537209545,2.148799818,1.548001597,0.926659922,0.657573234,147.20465,105.6413103,53.05099727,29.83194206,13.51419748,87.84975686,45.55164614,16.30137143,8.273113766,2.442981234,2,2
71,26.28335327,19.95936408,8.128255273,4.236902039,1.87371874,31.71156306,20.09034058,9.139826701,6.230167091,3.508694039,4.162665532,2.74897474,2.296110195,1.719863351,0.738129286,159.8664624,99.60239304,62.98562874,31.07372229,12.93391096,26.7183296,20.2867793,8.487440597,4.209639844,1.905611571,1
72,305.9710132,12.81557204,4.727037463,1.71442115,0.868967838,103.2738501,7.762813563,7.592797275,3.873022263,4.537701775,84.07402085,16.51238019,6.013061113,2.319908325,1.131637175,0.054034163,0.038339475,0.036164388,0.02390005,0.029313813,296.7706573,11.75371338,4.9971224,1.9413433,0.991006638,3
72,302.6014882,42.65229281,8.094022023,2.111891864,1.202508182,144.8543114,21.98627026,7.921802295,3.503366011,5.462880875,29.47834842,7.658042852,3.473502398,1.511241364,1.111687591,3.616815182,0.902746136,0.274138057,0.064715034,0.040250216,276.8652446,44.73397967,9.561527568,2.360848909,1.26387508,2
72,93.87705266,12.56106626,3.4341688,1.334035513,0.89628705,29.38024235,11.15950226,6.503341738,6.515639663,6.101833925,6.929922813,3.956316263,2.412411925,1.601110825,0.9180042,0.062602388,0.050564563,0.040179863,0.028062575,0.031710175,72.49523061,10.47752908,2.905506575,1.330733125,0.95639705,1
73,355.7592046,65.67086917,21.2996954,8.816958569,4.334017319,113.1118653,23.87814754,7.596399264,3.169663264,1.6024935,312.3645308,66.07253208,21.17417342,8.078637139,3.870115361,0.051569514,0.036646681,0.035646875,0.043049361,0.050396694,325.3285166,64.32128607,22.02928088,9.120953736,5.13182675,3
73,446.5120342,86.38350344,48.5815194,21.13555576,5.309905133,151.1259616,31.43976661,18.40167004,7.421995067,2.023959547,429.4601891,82.49842305,46.72680876,19.63914789,4.639172773,0.069711987,0.044137707,0.051443653,0.048731,0.06210956,427.8369887,81.72502567,48.53335367,20.99510281,5.418930613,2
73,200.6191957,60.15566435,31.61153953,24.39468013,8.221805709,62.00427096,19.98774702,11.4799698,8.123242909,3.166872782,180.2415992,53.40223618,28.28488209,22.81325502,7.659276418,0.034348673,0.025901655,0.022435982,0.032025527,0.038108291,196.380551,57.59605436,29.77632511,25.15978818,8.453956545,1
74,25.35561548,6.185488538,2.313537075,1.4827298,1.387190225,1.754938725,1.807051588,2.337476325,3.78667925,2.647666025,2.667872525,3.448440488,1.387186863,1.204612538,1.226796975,0.021071525,0.026880475,0.011409113,0.014280225,0.011341713,19.88961204,6.313343775,2.280907475,1.523343288,1.463036863,3
74,34.3345896,7.762681298,2.068174755,1.515512511,1.077876138,2.087442064,2.002438862,1.684055638,2.703102606,2.304571702,3.2057295,4.442917489,1.463050894,1.199850479,0.948689606,0.018227947,0.005119787,0.002852617,0.002919383,0.005871064,26.87244537,6.986219255,1.870967032,1.464271287,1.074472564,2
74,21.47318916,10.35754669,3.142934365,1.746499224,1.241190188,3.572929471,2.965636106,2.266742541,3.253140447,2.779729494,3.708841047,4.503042612,2.061141518,1.509279553,1.122798647,0.040450494,0.0188458,0.005329894,0.005733282,0.008968271,18.51502331,9.537404,2.924785847,1.860643376,1.270687,1
75,6.778335014,1.992247425,1.262196438,0.691935219,0.574554685,16.50593763,10.75457612,5.955202329,4.598251082,6.909797288,1.873198014,1.689286658,1.045724041,0.507434466,0.418636479,0.036102301,0.052168466,0.060786274,0.045574288,0.047556027,4.956085767,2.552190534,1.60047437,0.797328,0.592973,3
75,17.35036299,5.103655729,1.659462186,1.212537957,0.853277314,20.39337911,10.9835763,7.506455157,6.811920343,4.406896814,3.974400786,2.354580514,1.236201357,1.133892,0.730472886,0.044998571,0.042274786,0.030688271,0.0577192,0.054069971,16.25908434,5.031529386,1.6415813,1.139586186,0.864853,2
75,34.99922962,7.158923101,2.139361215,1.504761101,1.024516532,10.47875097,6.763071266,6.501358772,9.831840165,11.25112453,8.351725329,2.77136457,1.90951157,1.329053506,0.892831304,0.070323,0.121017127,0.105656911,0.083827405,0.088994101,76.27510125,17.86674876,5.562535481,2.832767646,1.43845262,1
11,12.55071331,4.428407806,2.629125468,1.635316242,1.155671452,2.992624258,1.76582121,1.312398581,0.862733758,0.717922919,5.8370125,5.494874806,2.486499113,1.087633484,0.725108629,0.070671387,0.086340032,0.076963742,0.046546081,0.037242387,11.04827569,4.596791226,2.380925597,1.023093097,0.512251371,3
11,60.45769488,12.50214087,4.2023716,2.56344265,1.9011322,19.22964757,6.787380417,3.080113733,1.759858217,1.257675517,21.86502643,7.921362417,6.674864467,1.90328995,1.143581283,1.01129805,0.282690883,0.147909167,0.0655704,0.058734533,37.84950067,11.1410618,4.131836067,1.772249983,0.97988565,2
11,9.197866467,3.443695383,1.3536611,1.318331433,0.776232967,6.803852933,2.262296,0.834065883,0.78842795,0.49850915,17.18450852,4.913093,2.370139933,0.863858683,0.543766167,0.02774805,0.06576345,0.054902,0.027220083,0.02279785,6.903192833,3.346638183,1.544777267,0.775823083,0.402536417,1
12,6.625233757,3.162790286,1.484888957,0.868366643,0.537186343,3.458093457,1.408984571,0.927625371,0.628049443,0.545443343,2.599196114,1.739891686,0.7346243,0.415706171,0.304188614,0.237564329,0.2058943,0.140037886,0.112577829,0.088637714,7.989631286,3.427399043,1.283491771,0.725963243,0.495935814,3
12,7.345799114,2.9946717,1.644177129,0.708727986,0.496997614,4.1058765,1.509012129,0.775306429,0.542290943,0.5074689,1.922500043,1.358942914,0.797438043,0.397400686,0.286746271,0.1197182,0.139655786,0.137614157,0.087041571,0.087113,7.705793757,3.111048257,1.679923857,0.624351629,0.421392586,2
12,6.959414988,2.671174901,1.577009321,0.946293296,0.515137815,2.710196975,1.405240136,0.974004975,0.664532358,0.500390074,1.725380864,1.063651086,0.735608407,0.414910556,0.282195864,0.135185457,0.130103938,0.110287753,0.085281284,0.108803568,6.728330704,2.257556185,1.318315877,0.690769654,0.445191778,1
13,22.46998741,6.308945016,3.274438719,1.592526719,0.685731563,6.044167047,2.961576844,2.874669563,3.438545484,2.69157375,15.52868658,6.683688844,3.831778672,1.499848313,0.58371225,0.194448781,0.148734641,0.217313375,0.186792125,0.264597797,21.58347631,7.673679656,4.076813813,1.662797656,0.624466141,3
13,15.49990547,7.747198677,3.025154855,1.600540371,0.775914935,11.63755394,4.114500048,2.780369581,4.348144968,3.088676597,5.254521129,3.192264371,2.380301532,0.962793661,0.493198613,0.170413839,0.121659871,0.122653,0.09798771,0.124734048,17.09277232,9.472147258,3.428747097,1.535860242,0.682062032,2
13,36.59334805,8.138722068,4.088759373,1.672643966,0.660588458,27.02660961,6.298406492,4.868956322,3.954952559,3.982733508,4.808177678,4.990196119,2.676897085,1.041068678,0.506924763,0.012083797,0.024368051,0.024267492,0.019096407,0.011512017,38.38493376,8.324599407,4.268590424,1.599330441,0.59959861,1
14,18.68610024,16.03463539,2.687365317,2.143194561,1.545097549,3.248482988,6.29272772,2.181180305,3.006882695,2.997772573,7.243500366,16.78345382,2.468801293,1.982630512,1.331679902,0.04590211,0.065753085,0.05989628,0.057295463,0.042712317,13.50652607,16.80304643,3.214519256,2.259756537,1.511006012,3
14,15.28115996,7.139604611,3.614269472,1.950397347,1.182728139,4.164223847,2.500574917,2.609410069,4.140824292,4.531005694,5.334860861,4.688128139,3.379519569,1.74292125,1.128971958,0.126960611,0.159257514,0.138059056,0.128923264,0.12220975,11.16922913,5.842910611,3.497929417,2.204547403,1.217982319,2
14,31.70606618,5.69628718,3.46779277,1.810382131,1.364404115,67.06463748,29.3088001,6.245658787,6.050279066,4.170810639,7.401921934,5.925298115,1.987834,1.67776723,1.179118967,0.040532459,0.043357328,0.060925803,0.04622577,0.031967344,18.13522662,4.88790382,3.332770082,2.236908951,1.359390033,1
15,23.1796834,4.1386068,1.654898975,1.1822654,0.7314812,17.18776775,3.9959964,1.487349575,1.047699525,0.905887925,16.60750819,7.204420325,1.894542075,1.302648075,1.086197913,0.047997038,0.074009625,0.0120858,0.029321675,0.025551475,21.32802841,4.242946763,1.66479105,1.1677273,0.679350063,3
15,42.36766199,5.646749608,1.586737886,1.193095329,0.804572772,5.004961392,2.529072658,1.624243127,1.223511911,1.056284506,7.392293291,9.282836557,1.831081785,1.329482671,1.160234747,0.118095595,0.092179595,0.054693671,0.094610203,0.063318506,25.6116229,4.221772633,1.573514734,1.200619139,0.793204418,2
15,24.03884999,5.693737792,2.067341514,1.375712236,0.889016792,12.91968057,4.820491764,2.60528125,1.61179675,1.508624653,15.59265242,10.69911589,1.890508583,1.533634889,1.39367375,0.063507139,0.094974958,0.031841361,0.051335319,0.043118708,21.57481642,5.592673139,1.874963708,1.239010444,0.910956528,1
16,14.59728893,4.370014747,2.233000267,1.250126,0.69769828,50.66877153,13.19649165,4.08458876,2.070148147,1.40642808,6.619481693,6.58654588,3.763743533,1.524634173,0.79509264,0.019043947,0.00669612,0.002754707,0.00176776,0.00172716,14.36420008,4.769882573,1.857203507,1.396743947,0.66007432,3
16,24.94056987,10.57489326,7.075333705,4.696007026,3.855944974,293.7615916,113.17503,52.66010849,22.45032127,10.72813123,24.50303595,10.23885018,7.115918679,5.060548449,4.145776436,0.000213718,7.25E-05,3.77E-05,2.23E-05,1.32E-05,25.49427219,11.20501268,7.744605295,5.028410256,3.900136974,2
16,13.27544748,4.664272397,3.207181333,2.188976381,1.294750381,28.00760676,6.376855143,3.814787857,3.690276365,2.863284063,10.94460057,8.301736063,6.245221397,3.774536016,2.128728333,0.000206794,0.000109889,8.95E-05,2.56E-05,4.76E-05,18.71005222,6.785149889,3.909704968,2.372011286,1.36645146,1
17,29.62096311,5.118603377,1.340745057,0.663302755,0.359429434,3.206610264,1.682104698,1.223151075,0.753208453,0.918959321,2.16517966,1.683545736,1.350618698,0.545139943,0.346675717,0.357489113,0.245520189,0.228455943,0.248823604,0.230717981,21.58183334,4.857564226,1.45097483,0.636404264,0.361904075,3
17,22.25738917,3.168312239,1.223645957,1.010796957,0.392613087,2.854827217,1.277102696,1.121186087,0.911157652,0.949925826,2.962077109,1.399413174,1.244462261,0.83050887,0.323794326,0.247159957,0.28013013,0.301104565,0.286157435,0.273629391,15.00909541,3.075214804,1.395261239,0.719997978,0.31488487,2
17,6.034285848,2.574429152,1.373065717,0.562961696,0.440845587,8.19903387,3.835547196,1.452439826,1.826031435,1.034158065,6.090474391,2.493817761,0.934523957,0.6970945,0.356358457,0.292650609,0.2152635,0.235165913,0.1525835,0.185828717,5.520523739,2.341327674,1.463503739,0.873532609,0.479165587,1
18,15.19332649,7.170220177,2.049917241,0.786196886,0.395791316,7.230696506,2.638975203,0.736969114,0.644233051,0.498363329,2.986322253,1.479855329,0.82011962,0.552781354,0.280578177,0.097072823,0.071986962,0.075516975,0.061392899,0.053669506,6.232086342,2.936355785,1.298771544,0.735732975,0.329592747,3
